Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Igor Rako?‘âvi??Igor Rako?‘âvi??Position: Point Guard Ñ”? Shoots: Right,"6-3, 183lb (190cm, 83kg)","Born: March 29, 1978 (Age: 45-205d) in Belgrade, Serbia rs","Draft: Minnesota Timberwolves, 2nd round (22nd pick, 51st overall), 2000 NBA Draft","NBA Debut: November 1, 2002",Career Length: 1 year,,,,,,,,,
Kurt Rambis,,"(Rambo, Clark Kent)",Position: Power Forward Ñ”? Shoots: Right,"6-8, 213lb (203cm, 96kg)","Born: February 25, 1958 (Age: 65-237d) in Terre Haute, Indiana us",College: Santa Clara,,,,,,,,
Peter John Ramos,Peter John Ramos,(Full name Peter John Ramos Fuentes),Position: Center Ñ”? Shoots: Right,"7-3, 275lb (221cm, 124kg)","Born: May 13, 1985 (Age: 38-160d) in Fajardo, Puerto Rico pr","Draft: Washington Wizards, 2nd round (3rd pick, 32nd overall), 2004 NBA Draft","NBA Debut: November 3, 2004",Career Length: 1 year,,,,,,
Cal Ramsey,Calvin Ramsey,(J.R.),Position: Small Forward Ñ”? Shoots: Right,"6-4, 200lb (193cm, 90kg)","Born: July 13, 1937 in Selma, Alabama us","Died: March 25, 2019 (Aged 81-255d)",,,,,,,,
Frank Ramsey,,(The Kentucky Colonel),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: July 13, 1931 in Corydon, Kentucky us","Died: July 8, 2018 (Aged 86-360d)",,,,,,,,
Jahmi'us Ramsey,,Jahmi'us Ramsey Ñ”? Twitter: newanimprovedJR Ñ”? Instagram: jramsey.3,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: June 9, 2001 (Age: 22-133d) in Arlington, Texas us",College: Texas Tech,"High Schools: Mansfield Summit in Arlington, Texas, IMG Academy in Bradenton, Florida, Duncanville in Duncanville, Texas","Draft: Sacramento Kings, 2nd round (13th pick, 43rd overall), 2020 NBA Draft","NBA Debut: December 27, 2020",Experience: 2 years,,,,
Ray Ramsey,Raymond Leroy Ramsey,Position: Guard/Forward Ñ”? Shoots: Right,"6-2, 165lb (188cm, 74kg)","Born: July 18, 1921","Died: August 25, 2009 (Aged 88-038d)",College: Bradley,"High School: Lanphier in Springfield, Illinois",Career Length: 1 year,,,,,,
Mark Randall,Mark Christopher Randall,Position: Power Forward Ñ”? Shoots: Right,"6-8, 235lb (203cm, 106kg)","Born: September 30, 1967 (Age: 56-020d) in Edina, Minnesota us",College: Kansas,"High School: Cherry Creek in Englewood, Colorado","Draft: Chicago Bulls, 1st round (26th pick, 26th overall), 1991 NBA Draft","NBA Debut: November 1, 1991",Career Length: 4 years,,,,,
Chasson Randle,,Chasson Randle Ñ”? Twitter: ChassonRandle Ñ”? Instagram: cha2_05,Position: Point Guard Ñ”? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: February 5, 1993 (Age: 30-257d) in Rock Island, Illinois us",College: Stanford,"High School: Rock Island in Rock Island, Illinois",Recruiting Rank: 2011 (63),"NBA Debut: January 14, 2017",Experience: 4 years,,,,
Julius Randle,,"(Beyblade, Orange Julius, Don Julio)",Position: Power Forward and Center Ñ”? Shoots: Left,"6-8, 250lb (203cm, 113kg)","Born: November 29, 1994 (Age: 28-325d) in Dallas, Texas us",College: Kentucky,,,,,,,,
Anthony Randolph,,Position: Power Forward and Center Ñ”? Shoots: Left,"6-10, 205lb (208cm, 92kg)","Born: July 15, 1989 (Age: 34-097d) in Wurzbach, Germany de",College: LSU,"High School: Woodrow Wilson in Dallas, Texas",Recruiting Rank: 2007 (15),"Draft: Golden State Warriors, 1st round (14th pick, 14th overall), 2008 NBA Draft","NBA Debut: November 3, 2008",Career Length: 6 years,,,,
Shavlik Randolph,,Ronald Shavlik Randolph,Position: Power Forward Ñ”? Shoots: Right,"6-10, 240lb (208cm, 108kg)","Born: November 24, 1983 (Age: 39-330d) in Raleigh, North Carolina us",Relatives: Grandfather Ron Shavlik,,,,,,,,
Zach Randolph,,(Z-Bo),Position: Power Forward and Center Ñ”? Shoots: Left,"6-9, 250lb (206cm, 113kg)","Born: July 16, 1981 (Age: 42-096d) in Marion, Indiana us",College: Michigan State,,,,,,,,
Wally Rank,Wallace Aliifua Rank,Position: Small Forward Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: March 1, 1958 (Age: 65-233d) in Fort Ord, California us",College: San Jose State,"High School: Carson in Carson, California","Draft: San Diego Clippers, 5th round (7th pick, 99th overall), 1980 NBA Draft","NBA Debut: October 11, 1980",Career Length: 1 year,,,,,
Kelvin Ransey,Kelvin Ransey,(Mrs. Butterworth),Position: Point Guard Ñ”? Shoots: Right,"6-1, 170lb (185cm, 77kg)","Born: May 3, 1958 (Age: 65-170d) in Toledo, Ohio us",College: Ohio State,,,,,,,,
Sam Ranzino,Samuel Salvador Ranzino,Position: Shooting Guard Ñ”? Shoots: Right,"6-1, 185lb (185cm, 83kg)","Born: June 23, 1928 in Gary, Indiana us","Died: March 13, 1994 (Aged 65-263d)",College: NC State,"High School: Emerson in Gary, Indiana","Draft: Rochester Royals, 1st round (8th pick, 8th overall), 1951 NBA Draft","NBA Debut: November 1, 1951",Career Length: 1 year,,,,
Bobby Rascoe,Robert B. Rascoe,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-4, 205lb (193cm, 92kg)","Born: July 22, 1940 (Age: 83-090d) in Trigg County, Kentucky us",College: Western Kentucky,"High School: Daviess County in Owensboro, Kentucky","Draft: New York Knicks, 3rd round (2nd pick, 20th overall), 1962 NBA Draft","ABA Debut: October 14, 1967",Career Length: 3 years,,,,,
Blair Rasmussen,Blair Allen Rasmussen,Position: Center Ñ”? Shoots: Right,"7-0, 250lb (213cm, 113kg)","Born: November 13, 1962 (Age: 60-341d) in Auburn, Washington us",College: Oregon,"High School: Auburn in Auburn, Washington","Draft: Denver Nuggets, 1st round (15th pick, 15th overall), 1985 NBA Draft","NBA Debut: October 25, 1985",Career Length: 8 years,,,,,
Xavier Rathan-Mayes,,Xavier Andrew Rathan-Mayes Ñ”? Twitter: xrm_22,"(X, X-Man)",Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 208lb (193cm, 94kg)","Born: April 29, 1994 (Age: 29-174d) in Scarborough, Ontario ca",,,,,,,,
George Ratkovicz,George Ratkovicz,Position: Power Forward Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: November 13, 1922 in Chicago, Illinois us","Died: November 10, 2008 (Aged 85-363d)","NBA Debut: November 3, 1949",Career Length: 6 years,,,,,,,
Ed Ratleff,William Edward Ratleff,Position: Small Forward Ñ”? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: March 29, 1950 (Age: 73-205d) in Bellefontaine, Ohio us",College: Cal State Long Beach,"High School: East in Columbus, Ohio","Draft: Houston Rockets, 1st round (6th pick, 6th overall), 1973 NBA Draft","NBA Debut: October 9, 1973",Career Length: 5 years,,,,,
Mike Ratliff,Michael D. Ratliff,Position: Center Ñ”? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: June 7, 1951 (Age: 72-135d) in New Albany, Mississippi us",College: University of Wisconsin-Eau Claire,"Draft: Kansas City-Omaha Kings, 2nd round (15th pick, 28th overall), 1972 NBA Draft","NBA Debut: October 11, 1972",Career Length: 2 years,,,,,,
Theo Ratliff,,Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 225lb (208cm, 102kg)","Born: April 17, 1973 (Age: 50-186d) in Demopolis, Alabama us",College: Wyoming,"High School: Demopolis in Demopolis, Alabama","Draft: Detroit Pistons, 1st round (18th pick, 18th overall), 1995 NBA Draft","NBA Debut: November 3, 1995",Career Length: 16 years,,,,,
Andy Rautins,,Andrew Jay Rautins,Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 190lb (193cm, 86kg)","Born: November 2, 1986 (Age: 36-352d) in Syracuse, New York us",Relatives: Father Leo Rautins,,,,,,,,
Leo Rautins,Pronunciation: \ROUT-ins\,Leo Rytis Rautins Ñ”? Twitter: LeoRautins,(White Magic),Position: Small Forward Ñ”? Shoots: Left,"6-8, 215lb (203cm, 97kg)","Born: March 20, 1960 (Age: 63-214d) in Toronto, Ontario ca",,,,,,,,
Allan Ray,Allan Ray,Position: Shooting Guard Ñ”? Shoots: Right,"6-2, 190lb (188cm, 86kg)","Born: June 17, 1984 (Age: 39-125d) in Bronx, New York us",College: Villanova,"High School: St. Raymond in Bronx, New York",Recruiting Rank: 2002 (39),"NBA Debut: November 17, 2006",Career Length: 1 year,,,,,
Clifford Ray,,(Cliff),Position: Center Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: January 21, 1949 (Age: 74-272d) in Union, South Carolina us",College: Oklahoma,,,,,,,,
Don Ray,Donald L. Ray,(Duck),Position: Forward/Center Ñ”? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: July 8, 1921 in Mt. Juliet, Tennessee us","Died: November 23, 1998 (Aged 77-138d)",College: Western Kentucky,"Draft: Philadelphia Warriors, 1st round (11th pick, 11th overall), 1948 BAA Draft","NBA Debut: October 29, 1949",Career Length: 1 year,,,,
James Ray,James Earl Ray,(James Earl),Position: Power Forward Ñ”? Shoots: Right,"6-8, 215lb (203cm, 97kg)","Born: July 27, 1957 (Age: 66-085d) in New Orleans, Louisiana us",College: Jacksonville University,"High School: Landry in New Orleans, Louisiana","Draft: Denver Nuggets, 1st round (5th pick, 5th overall), 1980 NBA Draft","NBA Debut: October 21, 1980",Career Length: 3 years,,,,
Jim Ray,James E. Ray,Position: Guard Ñ”? Shoots: Right,"6-1, 180lb (185cm, 81kg)","Born: January 12, 1934 (Age: 89-281d)",College: Toledo,"Draft: Syracuse Nationals, 5th round (5th pick, 37th overall), 1956 NBA Draft","NBA Debut: October 27, 1956",Career Length: 2 years,,,,,,
Jimmy Rayl,James R. Rayl,"(Jim, The Splendid Splinter, The Human)",Position: Point Guard Ñ”? Shoots: Right,"6-2, 175lb (188cm, 79kg)","Born: June 21, 1941 in Kokomo, Indiana us","Died: January 20, 2019 (Aged 77-213d)",,,,,,,,
Craig Raymond,Craig Milford Raymond,(Stretch),Position: Center Ñ”? Shoots: Right,"6-11, 235lb (211cm, 106kg)","Born: April 5, 1945 in Aberdeen, Washington us","Died: October 15, 2018 (Aged 73-193d)",,,,,,,,
Connie Rea,Connie Mack Rea,Position: Guard/Forward Ñ”? Shoots: Right,"6-3, 175lb (190cm, 79kg)","Born: January 27, 1931 in Marion, Indiana us","Died: May 5, 2020 (Aged 89-099d)",College: Centenary (LA),"High School: Muncie Central in Muncie, Indiana","Draft: Baltimore Bullets, 8th round, 1953 NBA Draft","NBA Debut: January 30, 1954",Career Length: 1 year,,,,
Austin Reaves,,Austin Tyler Reaves Ñ”? Instagram: austinreaves12,(Hillbilly Kobe),Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 206lb (196cm, 93kg)","Born: May 29, 1998 (Age: 25-144d) in Newark, Arkansas us","Colleges: Wichita State, Oklahoma","High School: Cedar Ridge in Newark, Arkansas","NBA Debut: October 22, 2021",Experience: 2 years,,,,
Joe Reaves,Joe L. Reaves,Position: Small Forward Ñ”? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: May 27, 1950 (Age: 73-146d)",College: Bethel College,"Draft: Phoenix Suns, 3rd round (7th pick, 42nd overall), 1973 NBA Draft","NBA Debut: October 12, 1973 Ñ”? ABA Debut: December 4, 1973",Career Length: 1 year,,,,,,
Josh Reaves,,Position: Small Forward Ñ”? Shoots: Left,"6-4, 214lb (193cm, 97kg)","Born: June 4, 1997 (Age: 26-138d) in Fairfax, Virginia us",College: Penn State,"High Schools: Paul VI in Chantilly, Virginia, Oak Hill Academy in Mouth of Wilson, Virginia","NBA Debut: January 2, 2020",Experience: 1 year,,,,,,
??eljko Rebra??,Pronunciation: \ZHELL-ko RA-bra-cha\,??eljko Rebra??,Position: Center Ñ”? Shoots: Right,"7-0, 257lb (213cm, 116kg)","Born: April 9, 1972 (Age: 51-194d) in Apatin, Serbia rs","Draft: Seattle SuperSonics, 2nd round (27th pick, 54th overall), 1994 NBA Draft","NBA Debut: October 30, 2001",Career Length: 5 years,,,,,,
Eldridge Recasner,,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-3, 190lb (190cm, 86kg)","Born: December 14, 1967 (Age: 55-310d) in New Orleans, Louisiana us",College: Washington,"High School: Alfred Lawless in New Orleans, Louisiana","NBA Debut: March 4, 1995",Career Length: 8 years,,,,,,
Michael Redd,,"(Redd Hot, Silky)",Position: Shooting Guard and Small Forward Ñ”? Shoots: Left,"6-6, 220lb (198cm, 99kg)","Born: August 24, 1979 (Age: 44-057d) in Columbus, Ohio us",College: Ohio State,,,,,,,,
Cam Reddish,,(Killer Cam),Position: Small Forward Ñ”? Shoots: Right,"6-8, 218lb (203cm, 98kg)","Born: September 1, 1999 (Age: 24-049d) in Norristown, Pennsylvania us",College: Duke,,,,,,,,
Frank Reddout,Franklin Parker Reddout,Position: Forward Ñ”? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: March 4, 1931 (Age: 92-230d) in Naples, New York us",College: Syracuse,"High School: Naples in Naples, New York","Draft: Rochester Royals, 3rd round, 1953 NBA Draft","NBA Debut: November 7, 1953",Career Length: 1 year,,,,,
J.J. Redick,,Jonathan Clay Redick Ñ”? Twitter: jj_redick Ñ”? Instagram: jjredick,(Bubs),Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-3, 200lb (190cm, 90kg)","Born: June 24, 1984 (Age: 39-118d) in Cookeville, Tennessee us",,,,,,,,
Marlon Redmond,Marlon Bernard Redmond,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 188lb (198cm, 85kg)","Born: April 15, 1955 (Age: 68-188d) in San Francisco, California us",College: San Francisco,"High School: Balboa in San Francisco, California","Draft: Golden State Warriors, 3rd round (16th pick, 60th overall), 1977 NBA Draft","NBA Debut: October 15, 1978",Career Length: 2 years,,,,,
Davon Reed,,Davon Malcolm Reed Ñ”? Twitter: ClutchREED_5 Ñ”? Instagram: clutchreed_5,(Mr. Dependable),Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 208lb (196cm, 94kg)","Born: June 11, 1995 (Age: 28-131d) in Princeton, New Jersey us",,,,,,,,
Hub Reed,Hubert Franklin Reed,Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 215lb (206cm, 97kg)","Born: October 4, 1936 (Age: 87-016d) in Harrah, Oklahoma us",College: Oklahoma City University,"High School: Capitol Hill in Oklahoma City, Oklahoma","Draft: St. Louis Hawks, 2nd round (7th pick, 15th overall), 1958 NBA Draft","NBA Debut: October 23, 1958",Career Length: 7 years,,,,,
Justin Reed,Justin Reed,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-8, 240lb (203cm, 108kg)","Born: January 16, 1982 in Jackson, Mississippi us","Died: October 20, 2017 (Aged 35-277d)",College: Ole Miss,,,,,,,,
Paul Reed,,"(BBall Paul, Alley)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 210lb (206cm, 95kg)","Born: June 14, 1999 (Age: 24-128d) in Orlando, Florida us",College: DePaul,"High School: Wekiva in Apopka, Florida","Draft: Philadelphia 76ers, 2nd round (28th pick, 58th overall), 2020 NBA Draft","NBA Debut: January 4, 2021",Experience: 3 years,,,,
Ron Reed,Ronald Lee Reed,Position: Power Forward Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: November 2, 1942 (Age: 80-352d) in La Porte, Indiana us",College: Notre Dame,"High School: LaPorte in LaPorte, Indiana","Draft: Detroit Pistons, 3rd round (3rd pick, 23rd overall), 1965 NBA Draft","NBA Debut: October 16, 1965",Career Length: 2 years,,,,,
Willie Reed,,Position: Center Ñ”? Shoots: Right,"6-10, 220lb (208cm, 99kg)","Born: May 16, 1990 (Age: 33-157d) in Kansas City, Missouri us",College: Saint Louis,"High School: Bishop Miege in Roeland Park, Kansas","NBA Debut: December 4, 2015",Career Length: 3 years,,,,,,
Willis Reed,,"(The Captain, Wolf)",Position: Center and Power Forward Ñ”? Shoots: Left,"6-10, 235lb (208cm, 106kg)","Born: June 25, 1942 in Hico, Louisiana us","Died: March 21, 2023 (Aged 80-269d)",,,,,,,,
Bryant Reeves,,(Big Country),Position: Center Ñ”? Shoots: Right,"7-0, 275lb (213cm, 124kg)","Born: June 8, 1973 (Age: 50-134d) in Fort Smith, Arkansas us",College: Oklahoma State,,,,,,,,
Khalid Reeves,Khalid Reeves,(Solid),Position: Point Guard Ñ”? Shoots: Right,"6-3, 199lb (190cm, 90kg)","Born: July 15, 1972 (Age: 51-097d) in Queens, New York us",College: Arizona,"High School: Christ the King in Queens, New York","Draft: Miami Heat, 1st round (12th pick, 12th overall), 1994 NBA Draft","NBA Debut: November 4, 1994",Career Length: 6 years,,,,
Richie Regan,Richard Joseph Regan,Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-2, 180lb (188cm, 81kg)","Born: November 30, 1930 in Newark, New Jersey us","Died: December 24, 2002 (Aged 72-024d)",College: Seton Hall,,,,,,,,
Don Rehfeldt,Donald W. Rehfeldt,Position: Small Forward Ñ”? Shoots: Left,"6-7, 210lb (201cm, 95kg)","Born: January 7, 1927 in Chicago, Illinois us","Died: October 16, 1980 (Aged 53-283d)",College: Wisconsin,"High School: Amundsen in Chicago, Illinois","Draft: Baltimore Bullets, 1st round (2nd pick, 2nd overall), 1950 NBA Draft","NBA Debut: November 1, 1950",Career Length: 2 years,,,,
Billy Reid,William Jennings Reid Jr.,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: September 10, 1957 (Age: 66-040d) in New York, New York us","Colleges: New Mexico, San Francisco","High School: DeWitt Clinton in Bronx, New York","Draft: Indiana Pacers, 5th round (10th pick, 98th overall), 1979 NBA Draft, and Golden State Warriors, 9th round (3rd pick, 182nd overall), 1980 NBA Draft","NBA Debut: October 10, 1980",Career Length: 1 year,,,,,
Don Reid,Don Corey Reid,(Chief),Position: Power Forward Ñ”? Shoots: Right,"6-8, 250lb (203cm, 113kg)","Born: December 30, 1973 (Age: 49-294d) in Washington, District of Columbia us",College: Georgetown,"High School: Largo in Largo, Maryland","Draft: Detroit Pistons, 2nd round (29th pick, 58th overall), 1995 NBA Draft","NBA Debut: November 4, 1995",Career Length: 8 years,,,,
J.R. Reid,Herman Reid Jr.,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 247lb (206cm, 112kg)","Born: March 31, 1968 (Age: 55-203d) in Virginia Beach, Virginia us",College: UNC,"High School: Kempsville in Virginia Beach, Virginia","Draft: Charlotte Hornets, 1st round (5th pick, 5th overall), 1989 NBA Draft","NBA Debut: November 3, 1989",Career Length: 11 years,,,,,
Jim Reid,James Reid,Position: Forward Ñ”? Shoots: Right,"6-6, 210lb (198cm, 95kg)","Born: August 3, 1945 (Age: 78-078d)",College: Winston-Salem State,"Draft: Philadelphia 76ers, 5th round (10th pick, 53rd overall), 1967 NBA Draft","NBA Debut: October 18, 1967",Career Length: 1 year,,,,,,
Naz Reid,,Nazreon Hilton Reid Ñ”? Twitter: NazReid Ñ”? Instagram: hollywood.naz,(Big Jelly),Position: Center Ñ”? Shoots: Right,"6-9, 264lb (206cm, 119kg)","Born: August 26, 1999 (Age: 24-055d) in Asbury Park, New Jersey us",,,,,,,,
Robert Reid,,Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-8, 205lb (203cm, 92kg)","Born: August 30, 1955 (Age: 68-051d) in Atlanta, Georgia us",College: St. Mary's University,"High School: Samuel Clemens in Schertz, Texas","Draft: Houston Rockets, 2nd round (18th pick, 40th overall), 1977 NBA Draft","NBA Debut: October 21, 1977",Career Length: 13 years,,,,,
Ryan Reid,,Position: Power Forward Ñ”? Shoots: Right,"6-8, 232lb (203cm, 105kg)","Born: October 30, 1986 (Age: 36-355d) in Lauderdale Lakes, Florida us",College: Florida State,"High School: Boyd Anderson in Lauderdale Lakes, Florida","Draft: Indiana Pacers, 2nd round (27th pick, 57th overall), 2010 NBA Draft","NBA Debut: February 14, 2012",Career Length: 1 year,,,,,
Jared Reiner,Jared Thomas Reiner,Position: Center Ñ”? Shoots: Right,"6-11, 255lb (211cm, 115kg)","Born: April 8, 1982 (Age: 41-195d) in Tripp, South Dakota us",College: Iowa,"High School: Tripp-Delmont in Tripp, South Dakota",Recruiting Rank: 2000 (41),"NBA Debut: November 5, 2004",Career Length: 2 years,,,,,
Chick Reiser,Joseph Francis Reiser,Position: Guard/Forward Ñ”? Shoots: Right,"5-11, 165lb (180cm, 74kg)","Born: December 17, 1914 in New York, New York us","Died: July 29, 1996 (Aged 81-225d)",College: NYU,"High School: Stuyvesant in New York, New York","Draft: Baltimore Bullets, 9th round, 1947 BAA Draft",Career Length: 3 years,,,,,
Richard Rellford,Richard Allen Rellford,Position: Small Forward Ñ”? Shoots: Right,"6-6, 230lb (198cm, 104kg)","Born: February 16, 1964 (Age: 59-246d) in Riviera Beach, Florida us",College: Michigan,"High School: Suncoast in Riviera Beach, Florida","Draft: Indiana Pacers, 5th round (2nd pick, 95th overall), 1986 NBA Draft","NBA Debut: April 12, 1988",Career Length: 1 year,,,,,
Terrence Rencher,Terrence Lamont Rencher,Position: Point Guard Ñ”? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: February 19, 1973 (Age: 50-243d) in Bronx, New York us",College: Texas,"High School: St. Raymond in Bronx, New York","Draft: Washington Bullets, 2nd round (3rd pick, 32nd overall), 1995 NBA Draft","NBA Debut: November 4, 1995",Career Length: 1 year,,,,,
John Rennicke,John William Rennicke,Position: Guard Ñ”? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: August 11, 1929 in Aurora, Illinois us","Died: December 9, 2007 (Aged 78-120d)",College: Drake University,"High School: East Aurora in Aurora, Illinois","Draft: Tri-Cities Blackhawks, 6th round (2nd pick, 52nd overall), 1951 NBA Draft","NBA Debut: January 31, 1952",Career Length: 1 year,,,,
Bob Rensberger,Robert Lamar Rensberger,Position: Forward Ñ”? Shoots: Right,"6-2, 170lb (188cm, 77kg)","Born: March 7, 1921","Died: September 6, 2007 (Aged 86-183d)",College: Notre Dame,"High School: Nappanee in Nappanee, Indiana",Career Length: 1 year,,,,,,
Efthimios Rentzias,Efthimios Rentzias,"(alternate spellings of first name: Efthimis, Efthymios and Efthymis)",(Rentzie),Position: Center Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: January 11, 1976 (Age: 47-282d) in Trikala, Greece gr","Draft: Denver Nuggets, 1st round (23rd pick, 23rd overall), 1996 NBA Draft","NBA Debut: November 8, 2002",Career Length: 1 year,,,,,
Shawn Respert,Shawn Christopher Respert,"(Ace, Rusty)",Position: Shooting Guard Ñ”? Shoots: Right,"6-1, 195lb (185cm, 88kg)","Born: February 6, 1972 (Age: 51-256d) in Detroit, Michigan us",College: Michigan State,"High School: Bishop Borgess in Detroit, Michigan","Draft: Portland Trail Blazers, 1st round (8th pick, 8th overall), 1995 NBA Draft","NBA Debut: November 4, 1995",Career Length: 4 years,,,,
Kevin Restani,Kevin Gilbert Restani,(Big Bird),Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-9, 225lb (206cm, 102kg)","Born: December 23, 1951 in San Francisco, California us","Died: April 25, 2010 (Aged 58-123d)",,,,,,,,
Cameron Reynolds,,Position: Small Forward and Shooting Guard Ñ”? Shoots: Left,"6-7, 225lb (201cm, 102kg)","Born: February 7, 1995 (Age: 28-255d) in Pearland, Texas us",College: Tulane,"High School: Pearland in Pearland, Texas","NBA Debut: March 3, 2019",Career Length: 2 years,,,,,,
George Reynolds,George Reynolds,Position: Guard Ñ”? Shoots: Right,"6-4, 195lb (193cm, 88kg)","Born: November 23, 1947 (Age: 75-331d)",College: Houston,"Draft: Detroit Pistons, 9th round (4th pick, 117th overall), 1969 NBA Draft","NBA Debut: October 24, 1969",Career Length: 1 year,,,,,,
Jerry Reynolds,Jerry Reynolds,(Ice),Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-8, 200lb (203cm, 90kg)","Born: December 23, 1962 (Age: 60-301d) in Brooklyn, New York us",College: LSU,"High School: Alexander Hamilton in Brooklyn, New York","Draft: Milwaukee Bucks, 1st round (22nd pick, 22nd overall), 1985 NBA Draft","NBA Debut: October 26, 1985",Career Length: 8 years,,,,
Kendall Rhine,Kendall Lee Rhine,Position: Center Ñ”? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: February 13, 1943 in Eldorado, Illinois us","Died: March 16, 2022 (Aged 79-031d)",College: Rice University,"Draft: St. Louis Hawks, 8th round (6th pick, 69th overall), 1964 NBA Draft","ABA Debut: October 14, 1967",Career Length: 2 years,,,,,
Jared Rhoden,,Matthew Jared Rhoden Ñ”? Twitter: ihoop_jaay Ñ”? Instagram: fortunejaay,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 210lb (198cm, 95kg)","Born: August 27, 1999 (Age: 24-054d) in Baldwin, New York us",College: Seton Hall,"High Schools: Baldwin HS in Baldwin, New York, Our Savior Lutheran in Bronx, New York","NBA Debut: January 10, 2023",Experience: 1 year,,,,,
Gene Rhodes,Eugene Stephen Rhodes,Position: Shooting Guard Ñ”? Shoots: Right,"6-1, 170lb (185cm, 77kg)","Born: September 2, 1927 in St. Louis, Missouri us","Died: March 10, 2018 (Aged 90-189d)",College: Western Kentucky,"High School: Male in Louisville, Kentucky","Draft: Indianapolis Olympians, 4th round, 1952 NBA Draft","NBA Debut: October 31, 1952",Career Length: 1 year,,,,
Rodrick Rhodes,Rodrick Rhodes,(Jersey City Jaguar),Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 225lb (198cm, 102kg)","Born: September 24, 1973 (Age: 50-026d) in Jersey City, New Jersey us","Colleges: Kentucky, USC","High School: St. Anthony in Jersey City, New Jersey","Draft: Houston Rockets, 1st round (24th pick, 24th overall), 1997 NBA Draft","NBA Debut: October 31, 1997",Career Length: 3 years,,,,
Glen Rice,,"(G Money, G)",Position: Small Forward Ñ”? Shoots: Right,"6-8, 215lb (203cm, 97kg)","Born: May 28, 1967 (Age: 56-145d) in Jacksonville, Arkansas us",Relatives: Son Glen Rice Jr.,,,,,,,,
Glen Rice Jr.,,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 206lb (198cm, 93kg)","Born: January 1, 1991 (Age: 32-292d) in Miami, Florida us",Relatives: Father Glen Rice,College: Georgia Tech,,,,,,,,
Chris Richard,Chris Richard,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 270lb (206cm, 122kg)","Born: December 25, 1984 (Age: 38-299d) in Lakeland, Florida us",College: Florida,"High School: Kathleen in Lakeland, Florida",Recruiting Rank: 2003 (43),"Draft: Minnesota Timberwolves, 2nd round (11th pick, 41st overall), 2007 NBA Draft","NBA Debut: November 6, 2007",Career Length: 2 years,,,,
Nick Richards,,Position: Center and Power Forward Ñ”? Shoots: Right,"7-0, 245lb (213cm, 111kg)","Born: November 29, 1997 (Age: 25-325d) in Kingston, Jamaica jm",College: Kentucky,"High Schools: St. Mary's in Manhasset, New York, The Patrick School in Hillside, New Jersey",Recruiting Rank: 2017 (18),"Draft: New Orleans Pelicans, 2nd round (12th pick, 42nd overall), 2020 NBA Draft","NBA Debut: December 30, 2020",Experience: 3 years,,,,
