Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Jeremy Lin,2019 NBA Champ,Career,480,11.6,2.8,4.3,43.3,34.2,80.9,48.5,15.3,23.5,
Norm Nixon,"2x All Star
2x NBA Champ
1977-78 All-Rookie",Career,768,15.7,2.6,8.3,48.3,29.4,77.2,48.8,15.3,47.6,
Jalen Rose,"1994-95 All-Rookie
1999-00 Most Improved",Career,923,14.3,3.5,3.8,44.3,35.5,80.1,47.7,15.3,47.2,
Franz Wagner,2021-22 All-Rookie,Career,159,16.9,4.3,3.2,47.7,35.8,85,53.1,15.3,9.4,
Derrick White,2022-23 All-Defensive,Career,345,11.7,3.4,3.8,44.7,35.2,84.6,52.4,15.3,22.7,
Buck Williams,"3x All Star
1982-83 All-NBA
1981-82 All-Rookie
1981-82 ROY
4x All-Defensive",Career,1307,12.8,10,1.3,54.9,16.7,66.4,54.9,15.3,120.1,
Bill Cartwright,"1x All Star
3x NBA Champ
1979-80 All-Rookie",Career,963,13.2,6.3,1.4,52.5,0,77.1,52.5,15.2,72.8,
Louie Dampier,"Hall of Fame
7x All Star
1975 ABA Champ
4x All-ABA
1967-68 All-Rookie
ABA All-Time Team",Career,960,15.9,2.6,4.9,44.4,35.8,82,47.4,15.2,74.1,
Dale Davis,1x All Star,Career,1094,8,7.9,0.9,53,0,56.2,53,15.2,86.9,
Pervis Ellison,1991-92 Most Improved,Career,474,9.5,6.7,1.5,51,5,68.9,51,15.2,21.8,
Dave Gambee,1967 NBA Champ,Career,750,10.6,5.2,1,42,,82.2,,15.2,35.9,
Bobby Jackson,"1997-98 All-Rookie
2002-03 Sixth Man",Career,755,9.7,3.1,2.6,41.7,35.4,79.3,47,15.2,31.4,
Vinnie Johnson,2x NBA Champ,Career,984,12,3.2,3.3,46.4,25.4,74,46.8,15.2,50.8,
Jeff Malone,"2x All Star
1983-84 All-Rookie",Career,905,19,2.6,2.4,48.4,26.8,87.1,48.7,15.2,54.2,
Jack Marin,"2x All Star
1966-67 All-Rookie",Career,849,14.8,5.2,2.1,46.5,,84.3,,15.2,59.3,
Collin Sexton,2018-19 All-Rookie,Career,266,19,2.9,3.2,46.4,38,82.6,51,15.2,7.9,
Brian Winters,"2x All Star
1974-75 All-Rookie",Career,650,16.2,2.6,4.1,47.5,36.3,84.2,48.1,15.2,38.6,
Leandro Barbosa,"2015 NBA Champ
2006-07 Sixth Man",Career,850,10.6,2,2.1,45.9,38.7,82.1,52.6,15.1,37.4,
Adrian Branch,1987 NBA Champ,Career,130,6.4,1.9,0.7,45.5,23.1,74.4,46.1,15.1,2.1,
George Carter,1x All Star,Career,479,18.1,6.8,2,44.5,30.1,81.3,44.9,15.1,24.3,
Jamal Crawford,3x Sixth Man,Career,1327,14.6,2.2,3.4,41,34.8,86.2,47.7,15.1,60.7,
Quintin Dailey,1982-83 All-Rookie,Career,528,14.1,2.5,2.3,45.4,15.8,77.9,45.6,15.1,12.7,
Sherman Douglas,1989-90 All-Rookie,Career,765,11,2.2,5.9,48.4,26.7,67.8,49.5,15.1,32.9,
Wayne Embry,"Hall of Fame
5x All Star
1968 NBA Champ",Career,831,12.5,9.1,1.4,44,,64,,15.1,37.8,
T.J. Ford,2003-04 All-Rookie,Career,429,11.2,3.1,5.8,43.3,28.9,81.5,44.8,15.1,16.9,
Don MacLean,1993-94 Most Improved,Career,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4,
Chris Morris,1988-89 All-Rookie,Career,747,11,4.7,1.6,44.1,30.6,73.9,47.5,15.1,37.4,
Latrell Sprewell,"4x All Star
1993-94 All-NBA
1992-93 All-Rookie
1993-94 All-Defensive",Career,913,18.3,4.1,4,42.5,33.7,80.4,46.4,15.1,56.3,
Steve Stipanovich,1983-84 All-Rookie,Career,403,13.2,7.8,2.3,48.4,17.9,79.6,48.6,15.1,30.4,
Jayson Williams,1x All Star,Career,475,7.3,7.5,0.6,44,12.5,60.6,44,15.1,20,
Butch Beard,"1x All Star
1975 NBA Champ",Career,605,9.3,3.4,3.6,48.7,,77.1,,15,32.8,
Jordan Bell,2018 NBA Champ,Career,161,3.7,3.1,1.2,55.2,20,63.6,55.6,15,4.9,
Caron Butler,"2x All Star
2011 NBA Champ
2002-03 All-Rookie",Career,881,14.1,5,2.3,43.4,34.8,84.7,46.9,15,50.9,
Austin Carr,"1x All Star
1971-72 All-Rookie",Career,682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15,32.9,
Walt Hazzard,1x All Star,Career,724,12.6,3,4.9,44.1,,75.7,,15,30.3,
Stew Johnson,3x All Star,Career,647,16.3,6.6,1.5,42.3,30.8,78.8,43.5,15,11.8,
Bill Keller,3x ABA Champ,Career,556,11.8,2.4,3.6,42.5,33.8,87.2,46.9,15,30.1,
Freddie Lewis,"3x All Star
3x ABA Champ
1974-75 AS MVP
ABA All-Time Team",Career,750,16,3.7,4,43.2,28,81.7,44.6,15,53.8,
Kenyon Martin,"1x All Star
2000-01 All-Rookie",Career,757,12.3,6.8,1.9,48.3,23.4,62.9,48.7,15,48,
Nazr Mohammed,2005 NBA Champ,Career,1005,5.8,4.7,0.4,48.6,0,64,48.6,15,34.3,
Gary Payton II,2022 NBA Champ,Career,164,5.1,2.8,1.1,54.8,34.1,59.3,60.9,15,7,
Connie Simmons,1948 BAA Champ,Career,598,9.8,6.2,1.6,35.1,,67.8,,15,29.3,
Mo Williams,"1x All Star
2016 NBA Champ",Career,818,13.2,2.8,4.9,43.4,37.8,87.1,49.3,15,40,
Ben Gordon,"2004-05 All-Rookie
2004-05 Sixth Man",Career,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3,
Brian Grant,1994-95 All-Rookie,Career,756,10.5,7.4,1.2,49,21.4,74.6,49.1,14.9,54.5,
Allan Houston,2x All Star,Career,839,17.3,2.9,2.4,44.4,40.2,86.3,49.8,14.9,55.3,
Larry Hughes,"2004-05 STL Champ
2004-05 All-Defensive",Career,727,14.1,4.2,3.1,40.6,30.9,75.7,43.5,14.9,32.3,
Reggie Jackson,2023 NBA Champ,Career,771,12.8,2.9,4.2,42.3,34.4,85.7,48.3,14.9,34.1,
Chris Kaman,1x All Star,Career,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6,
Jerome Kersey,1999 NBA Champ,Career,1153,10.3,5.5,1.9,46.5,20.1,69,46.7,14.9,69.5,
Brevin Knight,1997-98 All-Rookie,Career,729,7.3,2.4,6.1,41.2,13.4,78.9,41.4,14.9,32.6,
Don Kojis,2x All Star,Career,814,12.2,5.6,1.4,44.6,,72,,14.9,35.8,
Bob Love,"3x All Star
2x All-NBA
3x All-Defensive",Career,789,17.6,5.9,1.4,42.9,,80.5,,14.9,50.4,
Norman Powell,2019 NBA Champ,Career,481,12,2.6,1.5,46.5,38.6,82.7,54.8,14.9,23,
Pooh Richardson,1989-90 All-Rookie,Career,639,11.1,2.8,6.5,44.4,32.9,65.2,47,14.9,26.7,
Truck Robinson,"2x All Star
1977-78 TRB Champ
1977-78 All-NBA",Career,772,15.5,9.4,1.7,48.3,100,66.2,48.3,14.9,52.7,
Kenny Smith,"2x NBA Champ
1987-88 All-Rookie",Career,737,12.8,2,5.5,48,39.9,82.9,52.5,14.9,46.8,
Rodney Stuckey,2007-08 All-Rookie,Career,651,12.6,2.9,3.6,42.3,30,82.4,44.3,14.9,28.7,
Slick Watts,"1975-76 AST Champ
1975-76 STL Champ
1975-76 All-Defensive",Career,437,8.9,3.2,6.1,41.3,,59.7,,14.9,13.8,
Corliss Williamson,"2004 NBA Champ
2001-02 Sixth Man",Career,822,11.1,3.9,1.2,49,13.6,71.4,49,14.9,34.7,
Tyler Zeller,2012-13 All-Rookie,Career,414,6.9,4.4,0.9,50.8,28.6,76.4,51.1,14.9,17.1,
Bogdan Bogdanovi?,2017-18 All-Rookie,Career,370,14.2,3.4,3.3,44,38.7,82.3,54.2,14.8,19,
Larry Cannon,1970-71 All-ABA,Career,213,16.6,2.9,3.6,41.1,25.7,76,41.5,14.8,7.1,
Les Hunter,2x All Star,Career,468,12.3,6.9,1.6,44.3,19.9,69.9,44.6,14.8,25.5,
Mel Hutchins,"4x All Star
1951-52 TRB Champ
1951-52 ROY *",Career,437,11.1,9.6,3,38.9,,67.3,,14.8,27.9,
Kelvin Ransey,1980-81 All-Rookie,Career,474,11.4,1.9,5.2,45.4,13.2,78.2,45.6,14.8,17.9,
Fred Schaus,"1x All Star
1949-50 All-NBA",Career,334,12.2,6,2.9,35.2,,82.3,,14.8,31.4,
Brian Taylor,"2x All Star
2x ABA Champ
1972-73 All-Rookie
1972-73 ROY
1974-75 All-ABA
3x All-Defensive",Career,601,13.1,2.7,4.1,49.3,35.6,78,51,14.8,46.8,
Tyrus Thomas,2006-07 All-Rookie,Career,402,7.7,4.8,0.9,43.8,23.5,73.2,43.9,14.8,13,
Trooper Washington,"1x All Star
1968 ABA Champ
1967-68 All-Rookie",Career,426,10.6,10,2.4,53.2,33.3,61.5,53.2,14.8,33.1,
Andrew Wiggins,"1x All Star
2022 NBA Champ
2014-15 ROY
2014-15 All-Rookie",Career,635,19.1,4.5,2.3,44.9,35.4,72,49.5,14.8,26.3,
Metta World Peace,"1x All Star
2010 NBA Champ
2003-04 All-NBA
1999-00 All-Rookie
4x All-Defensive
2003-04 Def. POY",Career,991,13.2,4.5,2.7,41.4,33.9,71.5,46.5,14.8,61.1,
Danny Ainge,"1x All Star
2x NBA Champ",Career,1042,11.5,2.7,4,46.9,37.8,84.6,51.9,14.7,71.5,2
Dick Barnett,"1x All Star
2x NBA Champ",Career,971,15.8,2.9,2.8,45.6,,76.1,,14.7,68.7,
Joe Caldwell,"4x All Star
1964-65 All-Rookie
2x All-Defensive
1970-71 All-ABA",Career,782,16.1,5.3,3.4,46.6,22.5,57.2,46.7,14.7,37.8,
James Edwards,3x NBA Champ,Career,1168,12.7,5.1,1.3,49.5,4.8,69.8,49.5,14.7,59.7,
Kendall Gill,"1998-99 STL Champ
1990-91 All-Rookie",Career,966,13.4,4.1,3,43.4,30,75.4,44.8,14.7,47.8,
Bob Gross,"1977 NBA Champ
1977-78 All-Defensive",Career,513,8.9,4.4,2.9,51.2,17.9,79.8,51.2,14.7,30.7,
Buddy Hield,2016-17 All-Rookie,Career,548,16.1,4.4,2.6,43.4,40.2,85.8,55,14.7,21.4,
Timofey Mozgov,2016 NBA Champ,Career,454,6.8,4.9,0.6,53.5,19,73.8,53.7,14.7,17.7,
Chandler Parsons,2011-12 All-Rookie,Career,440,12.7,4.5,2.7,46.2,37.3,71.3,53.6,14.7,28.9,
Isaiah Rider,"2001 NBA Champ
1993-94 All-Rookie",Career,563,16.7,3.8,2.7,44.3,35.2,81.2,48.4,14.7,22.8,
Lionel Simmons,1990-91 All-Rookie,Career,454,12.8,6.2,3.3,43.3,30.5,77.1,43.7,14.7,16.9,
Sam Bowie,1984-85 All-Rookie,Career,511,10.9,7.5,2.1,45.2,30.2,74.8,45.6,14.6,26.9,
Doug Christie,4x All-Defensive,Career,827,11.2,4.1,3.6,42.6,35.4,82.1,47.9,14.6,55.7,
Antonio Daniels,1999 NBA Champ,Career,872,7.6,1.8,3.4,44.4,31.1,79.3,47.9,14.6,47,
LaPhonso Ellis,1992-93 All-Rookie,Career,624,11.9,6.5,1.6,45.2,30.2,73,47.1,14.6,32.8,
Draymond Green,"4x All Star
2016-17 STL Champ
4x NBA Champ
2x All-NBA
8x All-Defensive
2016-17 Def. POY",Career,758,8.7,7,5.6,44.9,31.4,71.2,50.5,14.6,57.4,
Darrell Griffith,"1980-81 All-Rookie
1980-81 ROY",Career,765,16.2,3.3,2.1,46.3,33.2,70.7,48.7,14.6,22,
Brendan Haywood,2011 NBA Champ,Career,816,6.8,6,0.5,52.8,0,58.7,52.8,14.6,43.8,
Tyler Herro,"2019-20 All-Rookie
2021-22 Sixth Man",Career,242,17.7,4.9,3.5,43.9,38.3,87.5,52.4,14.6,10.5,
Juwan Howard,"1x All Star
2x NBA Champ
1995-96 All-NBA
1994-95 All-Rookie",Career,1208,13.4,6.1,2.2,46.9,12,76.4,46.9,14.6,59.4,
Bones Hyland,2021-22 All-Rookie,Career,125,10.9,2.6,2.9,40.1,36.8,85,51,14.6,3.8,
Dennis Johnson,"Hall of Fame
5x All Star
3x NBA Champ
2x All-NBA
9x All-Defensive
1978-79 Finals MVP",Career,1100,14.1,3.9,5,44.5,17.2,79.7,44.8,14.6,82.6,
Bo Lamar,1973-74 All-Rookie,Career,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4,
Anthony Mason,"1x All Star
1996-97 All-NBA
1994-95 Sixth Man
1996-97 All-Defensive",Career,882,10.9,8.3,3.4,50.9,16.7,70.9,51,14.6,88.3,
James Michael McAdoo,2x NBA Champ,Career,111,3,1.7,0.3,52.8,29.4,53.4,53.8,14.6,2.4,
Zaza Pachulia,2x NBA Champ,Career,1098,6.8,5.8,1.3,46.9,0,75.1,46.9,14.6,52.7,
Elfrid Payton,2014-15 All-Rookie,Career,500,10.1,4,5.7,44.7,28.7,62.3,46.7,14.6,15.8,
Dennis Rodman,"Hall of Fame
2x All Star
7x TRB Champ
5x NBA Champ
2x All-NBA
8x All-Defensive
2x Def. POY
NBA 75th Anniv. Team",Career,911,7.3,13.1,1.8,52.1,23.1,58.4,52.9,14.6,89.8,
Lee Shaffer,1x All Star,Career,196,16.8,6.3,1.2,42,,77.6,,14.6,8.2,
Walt Simon,1x All Star,Career,541,11.9,5,2.7,46.2,13.3,70.4,46.3,14.6,27.6,
Terry Tyler,1978-79 All-Rookie,Career,871,10.2,5.4,1.2,48.4,12.2,70.3,48.5,14.6,40.8,
B.J. Armstrong,"1x All Star
3x NBA Champ",Career,747,9.8,1.8,3.3,47.7,42.5,85.6,51.3,14.5,45,
J.J. Barea,2011 NBA Champ,Career,831,8.9,2.1,3.9,42.4,35.2,79.4,48.5,14.5,23.8,
Rodrigue Beaubois,2011 NBA Champ,Career,182,7.1,1.9,2.1,43.9,32.5,81,49.6,14.5,4.8,
Bill Bridges,"3x All Star
1975 NBA Champ
2x All-Defensive",Career,926,11.9,11.9,2.8,44.2,,69.3,,14.5,59.9,
Scott Brooks,1994 NBA Champ,Career,680,4.9,1,2.4,45,37.2,84.9,50.3,14.5,23.5,
Tony Campbell,1988 NBA Champ,Career,690,11.6,3.1,1.5,45.6,25.4,79,46,14.5,20.7,
Speedy Claxton,2003 NBA Champ,Career,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2,
Larry Costello,"Hall of Fame
6x All Star
1967 NBA Champ
1960-61 All-NBA",Career,706,12.2,3.8,4.6,43.8,,84.1,,14.5,62.7,
Alan Henderson,1997-98 Most Improved,Career,652,7.8,5,0.6,46.9,19.2,63.9,46.9,14.5,28,
Fred Hetzel,1965-66 All-Rookie,Career,416,11.2,5.9,1.1,42.1,,81.7,,14.5,15.9,
Avery Johnson,1999 NBA Champ,Career,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5,
Nate McMillan,"1993-94 STL Champ
2x All-Defensive",Career,796,5.9,4,6.1,44.3,34.3,65,47.9,14.5,50.2,
Mel Peterson,1969 ABA Champ,Career,134,7.7,4.7,1.2,44.2,22.5,82,44.6,14.5,2.1,
Clifford Robinson,"1x All Star
1992-93 Sixth Man
2x All-Defensive",Career,1380,14.2,4.6,2.2,43.8,35.6,68.9,47.5,14.5,89.7,
Isaiah Stewart,2020-21 All-Rookie,Career,189,9,7.8,1.1,50.1,32.8,72.1,53.9,14.5,9.4,
Rod Thorn,"Hall of Fame
1963-64 All-Rookie",Career,466,10.8,3.1,2.6,43.3,,72.3,,14.5,17.2,
Andrea Bargnani,2006-07 All-Rookie,Career,550,14.3,4.6,1.2,43.9,35.4,82.4,48.6,14.4,18.9,
Mikal Bridges,2021-22 All-Defensive,Career,392,13.1,4,2.3,49.5,37.6,85.7,57.3,14.4,32.1,
Walter Dukes,2x All Star,Career,553,10.4,11.3,1.1,36.9,,70,,14.4,24,
A.C. Green,"1x All Star
3x NBA Champ
1988-89 All-Defensive",Career,1278,9.6,7.4,1.1,49.4,25.4,73.4,50.1,14.4,99.5,
Richard Jefferson,"2016 NBA Champ
2001-02 All-Rookie",Career,1181,12.6,4,2,46.4,37.6,76.8,51.1,14.4,83,
Don May,1970 NBA Champ,Career,379,8.8,3.5,1,45.3,,79.8,,14.4,11.4,
Rodney McCray,"1993 NBA Champ
2x All-Defensive",Career,768,11.7,6.6,3.6,50.3,26,76.1,50.7,14.4,56,
Cuttino Mobley,1998-99 All-Rookie,Career,747,16,3.9,2.7,43.3,37.8,83.5,48.7,14.4,52.2,
Jameer Nelson,"1x All Star
2004-05 All-Rookie",Career,878,11.3,3,5.1,43.6,36.8,81,50.2,14.4,48.3,
Billy Owens,1991-92 All-Rookie,Career,600,11.7,6.7,2.8,48.1,29.1,62.9,48.8,14.4,28.6,
Clifford Ray,"1975 NBA Champ
1971-72 All-Rookie",Career,784,7.4,8.9,2.2,52.4,0,58.8,52.4,14.4,56.7,
Rodney Rogers,1999-00 Sixth Man,Career,866,10.9,4.5,2,45.1,34.7,69,49.4,14.4,38.8,
Scott Skiles,1990-91 Most Improved,Career,600,11.1,2.5,6.5,43.5,37.9,88.9,48.5,14.4,30.4,
Dave Stallworth,1970 NBA Champ,Career,522,9.3,4.7,1.7,43.8,,73.2,,14.4,20.3,
Dick Van Arsdale,"3x All Star
1965-66 All-Rookie
1973-74 All-Defensive",Career,921,16.4,4.1,3.3,46.4,,79,,14.4,75.2,
Jimmy Walker,2x All Star,Career,698,16.7,2.7,3.5,46.1,,82.9,,14.4,42.9,
John Williamson,"2x ABA Champ
1973-74 All-Rookie",Career,516,17.5,2.5,2.8,45.8,23.4,82.6,45.9,14.4,23.6,
Dorell Wright,2006 NBA Champ,Career,549,8.4,3.8,1.5,42.4,36.5,80.6,50.3,14.4,25.9,
Thurl Bailey,1983-84 All-Rookie,Career,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45,
Mike Bantom,1973-74 All-Rookie,Career,706,12.1,6.4,2.3,46.8,20,69.2,46.8,14.3,34.8,
Bojan Bogdanovi?,2014-15 All-Rookie,Career,662,15.6,3.6,1.7,46,39.4,86.5,54.9,14.3,36.5,
Nat Clifton,"Hall of Fame
1x All Star",Career,544,10,8.2,2.5,36.1,,63.3,,14.3,15,
Eddie Griffin,2001-02 All-Rookie,Career,303,7.2,5.8,0.8,37.7,31.5,67.1,43,14.3,10.9,
Stephen Jackson,2003 NBA Champ,Career,858,15.1,3.9,3.1,41.4,33.3,79.8,47.1,14.3,36.1,
Mike Miller,"2x NBA Champ
2000-01 All-Rookie
2000-01 ROY
2005-06 Sixth Man",Career,1032,10.6,4.2,2.6,45.9,40.7,76.9,55,14.3,60.7,
Theo Ratliff,"1x All Star
3x BLK Champ
2x All-Defensive",Career,810,7.2,5.7,0.6,49.6,0,71,49.6,14.3,47.9,
Tony Allen,"2008 NBA Champ
6x All-Defensive",Career,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7,1
Leo Barnhorst,2x All Star,Career,344,9.4,5.4,3.2,36.8,,66.5,,14.2,13.3,
Ron Behagen,1973-74 All-Rookie,Career,388,10.3,7,1.6,42.5,-,75.4,42.5,14.2,13,
Glen Combs,"3x All Star
1971 ABA Champ",Career,465,16.5,2.6,3.5,43.3,36.7,81,47.4,14.2,34.3,
Dick Garmaker,"4x All Star
1956-57 All-NBA",Career,421,13.3,4.2,2.6,40.3,,78.7,,14.2,25.6,
Tom Gola,"Hall of Fame
5x All Star
1956 NBA Champ
1957-58 All-NBA",Career,698,11.3,8,4.2,43.1,,76,,14.2,53.2,
Jonathan Kuminga,2022 NBA Champ,Career,137,9.6,3.4,1.4,51.9,35.3,67.1,57.4,14.2,5.5,
Sam Lacey,1x All Star,Career,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9,
John Long,1989 NBA Champ,Career,893,13.6,2.8,1.9,46.7,32.2,86.2,47.2,14.2,32,
Scott May,1976-77 All-Rookie,Career,355,10.4,4.1,1.7,46.2,0,81.1,46.2,14.2,17.4,
Lonnie Shelton,"1x All Star
1979 NBA Champ
1981-82 All-Defensive",Career,673,12,6.1,2.2,49.2,9.7,73.8,49.2,14.2,37.5,
Scott Wedman,"2x All Star
2x NBA Champ
1974-75 All-Rookie
1979-80 All-Defensive",Career,906,13.2,4.8,2,48.1,33.5,79.4,48.5,14.2,53.7,
Jo Jo White,"Hall of Fame
7x All Star
2x NBA Champ
2x All-NBA
1969-70 All-Rookie
1975-76 Finals MVP",Career,837,17.2,4,4.9,44.4,16.7,83.4,44.4,14.2,54,
Jason Williams,"2006 NBA Champ
1998-99 All-Rookie",Career,788,10.5,2.3,5.9,39.8,32.7,81.3,47.9,14.2,38.5,
Walt Williams,1992-93 All-Rookie,Career,708,11.8,3.9,2.3,42.5,37.9,74.3,49.4,14.2,33.9,
P.J. Brown,"2008 NBA Champ
3x All-Defensive",Career,1089,9.1,7.7,1.5,46,13.6,79.4,46.1,14.1,89.8,
Antonio Davis,1x All Star,Career,903,10,7.5,1.1,44.8,8.7,72.7,44.8,14.1,59.6,
Marc Jackson,2000-01 All-Rookie,Career,387,8.4,4.3,0.8,44.6,22.6,81.4,44.7,14.1,13,
John Johnson,"2x All Star
1979 NBA Champ",Career,869,12.9,5.5,3.8,44.6,0,77.9,44.6,14.1,37.1,
Rich Jones,"2x All Star
1976 ABA Champ",Career,508,15.6,7.4,2.7,42,30.3,76.9,42.9,14.1,24.7,
Eric Paschall,2019-20 All-Rookie,Career,158,9.8,3.2,1.4,49.4,32.6,75.8,53.5,14.1,5,
Wesley Person,1994-95 All-Rookie,Career,733,11.2,3.3,1.7,45.7,41.8,77.8,54.1,14.1,44,
Andy Phillip,"Hall of Fame
5x All Star
2x AST Champ
1957 NBA Champ
2x All-NBA",Career,701,9.1,4.4,5.4,36.8,,69.5,,14.1,60.5,
Bobby Phills,1995-96 All-Defensive,Career,467,11,3.1,2.7,44.3,39,73.8,48.2,14.1,27.2,
?eljko Rebra?a,2001-02 All-Rookie,Career,215,5.9,3.2,0.4,52.7,-,79.2,52.7,14.1,8.3,
Dick Snyder,1979 NBA Champ,Career,964,12.2,2.8,2.9,48.8,,82.4,,14.1,58.3,
Sam Vincent,1986 NBA Champ,Career,396,7.8,2.1,3.9,44.9,18.2,86.3,45.2,14.1,10.9,
D.J. Augustin,2008-09 All-Rookie,Career,976,9.5,1.8,3.9,41.2,38.1,86.7,49.9,14,47.7,
Frankie Brian,"2x All Star
2x All-NBA",Career,438,12.3,2.4,2.6,34,,82.1,,14,30.1,
M.L. Carr,"1978-79 STL Champ
2x NBA Champ
1975-76 All-Rookie
1978-79 All-Defensive",Career,678,10,4.5,2,47.2,27.5,73.7,47.6,14,33.5,
Charles Dudley,1975 NBA Champ,Career,361,5.3,3,3.4,49.7,,67.2,,14,14,
Eric Gordon,"2008-09 All-Rookie
2016-17 Sixth Man",Career,818,16,2.4,2.8,42.9,37.1,81.1,52,14,38.6,
Walter Herrmann,2006-07 All-Rookie,Career,152,5.4,2.1,0.4,45.8,38.1,78.6,54.2,14,4.1,
Tyrone Hill,1x All Star,Career,801,9.4,8.6,0.8,50.2,0,64.3,50.2,14,56.2,
Neil Johnson,1x All Star,Career,380,6.9,5.3,1.7,47.9,16.7,67.3,47.9,14,12.6,
Mike McGee,2x NBA Champ,Career,520,9.6,2.1,1.2,48.7,35.4,59.7,52.3,14,15.1,
Johnny Neumann,1971-72 All-Rookie,Career,455,13.2,2.7,3,43.3,26.9,76.4,44.6,14,9.3,
Dario ?ari?,2016-17 All-Rookie,Career,413,11,5.6,1.9,44.3,36,83.8,51.8,14,18.1,
John Starks,"1x All Star
1992-93 All-Defensive
1996-97 Sixth Man",Career,866,12.5,2.5,3.6,41.2,34,76.9,47.6,14,49.9,
Tim Thomas,1997-98 All-Rookie,Career,824,11.5,4.1,1.5,43.7,36.9,75.8,49.7,14,35.2,
Beno Udrih,2x NBA Champ,Career,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14,31.4,
Norm Van Lier,"3x All Star
1970-71 AST Champ
1973-74 All-NBA
8x All-Defensive",Career,746,11.8,4.8,7,41.4,,78,,14,47.8,
Ben Warley,1x All Star,Career,436,8.5,5.6,0.8,41.8,28.4,75.1,43.4,14,16.4,
MarShon Brooks,2011-12 All-Rookie,Career,200,8,2.1,1.4,44.7,34.5,75.1,48.7,13.9,3.3,
Michael Cage,1987-88 TRB Champ,Career,1140,7.3,7.6,0.9,51.5,0,66.4,51.5,13.9,74.4,
Rex Chapman,1988-89 All-Rookie,Career,666,14.6,2.5,2.7,43,35,80,47.7,13.9,24.7,
Jim Chones,"1980 NBA Champ
1972-73 All-Rookie",Career,788,12.5,8.2,1.6,47.8,0,68,47.8,13.9,45.8,
Sean Elliott,"2x All Star
1999 NBA Champ
1989-90 All-Rookie",Career,742,14.2,4.3,2.6,46.5,37.5,79.9,50,13.9,55.7,
Phil Ford,"1978-79 All-NBA
1978-79 All-Rookie
1978-79 ROY",Career,482,11.6,1.8,6.4,46.7,21,82,46.9,13.9,23.3,
Kyle Kuzma,"2020 NBA Champ
2017-18 All-Rookie",Career,406,16.5,6.4,2.5,44.9,33.8,72.5,51.9,13.9,15.1,
Derrick McKey,"1987-88 All-Rookie
2x All-Defensive",Career,937,11,4.7,2.4,48.6,31.6,77.9,49.8,13.9,61.8,
Jim McMillian,1972 NBA Champ,Career,631,13.8,5.3,2.5,48.2,,83.2,,13.9,46,
Darius Miles,2000-01 All-Rookie,Career,446,10.1,4.9,1.9,47.2,16.8,59,47.4,13.9,9.5,
Dick Schnittker,2x NBA Champ,Career,364,8.3,3.8,1.3,37.9,,82.5,,13.9,22,
Paul Seymour,"3x All Star
1955 NBA Champ
2x All-NBA",Career,622,9.4,3.1,3.8,35,,79.2,,13.9,37.5,
Paul Silas,"2x All Star
3x NBA Champ
5x All-Defensive",Career,1254,9.4,9.9,2.1,43.2,-,67.3,43.2,13.9,79.9,
J.R. Smith,"2x NBA Champ
2012-13 Sixth Man",Career,977,12.4,3.1,2.1,41.9,37.3,73.3,51.1,13.9,46.3,
Willie Anderson,1988-89 All-Rookie,Career,555,12.2,3.8,3.8,47.1,26.6,78.6,47.9,13.8,27.9,
Harrison Barnes,"2015 NBA Champ
2012-13 All-Rookie",Career,829,14.2,5,1.8,45.5,37.8,81.1,51.7,13.8,51.4,
Saddiq Bey,2020-21 All-Rookie,Career,229,14.1,4.9,1.9,40.6,36.1,84.4,50.7,13.8,11.1,
Trey Burke,2013-14 All-Rookie,Career,498,9.6,1.8,3.1,41,34.5,81,47.3,13.8,12.9,
James Donaldson,1x All Star,Career,957,8.6,7.8,0.8,57.1,-,73.2,57.1,13.8,62.3,
Raymond Felton,2005-06 All-Rookie,Career,971,11.2,3,5.2,41.2,32.9,79,45.9,13.8,40.2,
Gus Gerard,"1x All Star
1974-75 All-Rookie",Career,446,8.4,4.1,1.3,43.8,27.3,69.6,43.9,13.8,11.1,
Herm Gilliam,1977 NBA Champ,Career,578,10.8,3.8,3.8,44.1,,79.2,,13.8,20.8,
Joe Graboski,1956 NBA Champ,Career,845,11,8.1,1.8,35.2,,70,,13.8,25.3,
Steve Jones,3x All Star,Career,704,15.2,3.5,2.2,44.4,33.8,82.2,45.4,13.8,36.9,
Cliff Levingston,2x NBA Champ,Career,830,7.1,5.2,0.9,51.6,15.2,67.6,51.6,13.8,44.2,
Dan Majerle,"3x All Star
2x All-Defensive",Career,955,11.4,4.5,2.9,43.1,35.8,74.1,50.5,13.8,78.5,
