Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
76,74,,2023-03-24,38-084,LAL,,OKC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,96.0,4.571428571428571,0.0,108.6,5.171428571428571
77,75,48,2023-03-26,38-086,LAL,,CHI,L (-10),0,29:32,6.0,11.0,.545,0.0,2.0,.000,7,8.0,.875,1.0,7.0,8.0,3.0,0.0,0.0,5.0,2.0,19.0,12.4,+4,9.0,6.0,0.6666666666666666,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,6.0,76.0,3.619047619047619,9.599999999999998,72.1,3.433333333333333
78,76,49,2023-03-29,38-089,LAL,@,CHI,W (+11),1,31:16,10.0,19.0,.526,1.0,3.0,.333,4,4.0,1.000,3.0,5.0,8.0,4.0,2.0,0.0,4.0,2.0,25.0,19.3,+23,16.0,9.0,0.5625,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,12.0,69.0,3.2857142857142856,17.7,85.2,4.057142857142857
79,77,50,2023-03-31,38-091,LAL,@,MIN,W (+12),1,32:29,7.0,19.0,.368,1.0,3.0,.333,3,4.0,.750,1.0,9.0,10.0,6.0,1.0,2.0,3.0,1.0,18.0,13.7,,16.0,6.0,0.375,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,11.0,58.0,2.761904761904762,12.5,64.9,3.0904761904761906
80,78,51,2023-04-02,38-093,LAL,@,HOU,W (+25),1,29:21,8.0,18.0,.444,1.0,7.0,.143,1,1.0,1.000,2.0,8.0,10.0,11.0,0.0,1.0,1.0,1.0,18.0,19.4,+23,11.0,7.0,0.6363636363636364,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,20.0,86.0,4.095238095238095,19.0,93.49999999999996,4.452380952380951
81,79,52,2023-04-04,38-095,LAL,@,UTA,W (+2),1,38:28,14.0,27.0,.519,3.0,10.0,.300,6,6.0,1.000,0.0,5.0,5.0,6.0,1.0,1.0,5.0,2.0,37.0,25.3,-7,17.0,11.0,0.6470588235294118,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,12.0,82.0,3.9047619047619047,22.9,90.8,4.3238095238095235
82,80,53,2023-04-05,38-096,LAL,@,LAC,L (-7),1,35:06,13.0,20.0,.650,4.0,6.0,.667,3,5.0,.600,0.0,8.0,8.0,7.0,1.0,1.0,6.0,0.0,33.0,26.4,-10,14.0,9.0,0.6428571428571429,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,19.0,76.0,3.619047619047619,25.200000000000003,76.0,3.619047619047619
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,,0.0,0.0,0.0,0.0,0.0
84,81,54,2023-04-07,38-098,LAL,,PHO,W (+14),1,29:21,6.0,19.0,.316,3.0,7.0,.429,1,2.0,.500,0.0,6.0,6.0,6.0,0.0,0.0,5.0,1.0,16.0,5.3,+11,12.0,3.0,0.25,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,2.0,80.0,3.809523809523809,4.899999999999999,75.2,3.580952380952381
85,82,55,2023-04-09,38-100,LAL,,UTA,W (+11),1,33:13,13.0,25.0,.520,8.0,14.0,.571,2,2.0,1.000,1.0,5.0,6.0,6.0,1.0,1.0,2.0,0.0,36.0,29.8,+20,11.0,5.0,0.4545454545454545,36,40,5,15,42,23,30,37,9,28,36,42,3,33,50,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.6428571428571429,0.625,0.7142857142857143,0.3658536585365853,0.6363636363636364,0.4423076923076923,0.4285714285714285,0.6607142857142857,0.2647058823529412,0.6829268292682927,0.5373134328358209,0.5753424657534246,0.5,0.0,0.559322033898305,,0.6578947368421053,0.6176470588235294,6,7,11,11,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.0985915492957746,0.141025641025641,0.1358024691358024,0.0612244897959183,0.0,0.0,21,21.0,68.0,3.238095238095238,29.00000000000001,55.6,2.6476190476190475
